w1,w2,mean_pdr,mean_energy,mean_collision_rate,mean_channel_util,mean_hop_count,reach_rate,mean_battery_remaining,mean_rssi,mean_neighbors,n_valid
0.05,0.95,0.7098178350295804,142.34864016736404,0.3300479277152518,0.36592580642484035,18.38702928870293,0.6757322175732218,63.032456024947734,-124.4814372901355,11.379859724022516,478
0.059,0.941,0.7030162488633254,140.89035639413,0.3245151635349932,0.3668168024326686,18.157232704402517,0.6687631027253669,63.47818359699819,-123.45150513156531,11.783122125358993,477
0.068,0.932,0.7106202262813749,142.14432773109246,0.33303943970871,0.3668507981338818,18.428571428571427,0.6260504201680672,63.06790218030744,-124.20419008739901,11.665421413853418,476
0.077,0.923,0.6922199998038749,141.43800000000005,0.3282990514108306,0.3796285164335539,18.66315789473684,0.6442105263157895,64.22481965583944,-123.10312767946343,11.571060634284654,475
0.086,0.914,0.7073055946393519,148.35892857142858,0.333863653780317,0.3590639636829944,19.07983193277311,0.6281512605042017,64.3332802839259,-123.35026956770706,11.32970053354356,476
0.095,0.905,0.7012836358307547,149.1498966942149,0.3284474588547722,0.3733695213563109,19.276859504132233,0.6528925619834711,63.45947117508783,-122.03006658882526,11.374272844260567,484
0.105,0.895,0.6961092151791115,145.01441908713696,0.3346542469034144,0.36902750943609985,18.740663900414937,0.6576763485477178,62.83947711059286,-122.3514816921831,11.608985589142646,482
0.114,0.886,0.7187374356338099,143.6714730290457,0.33018791660240615,0.36204782295664834,18.970954356846473,0.6182572614107884,62.21296201588049,-123.2871790437447,11.08052437730057,482
0.123,0.877,0.7027975950765883,137.67563291139243,0.33045241201097286,0.3738596851323423,17.953586497890296,0.6434599156118144,64.10263392672006,-122.36729386095222,11.265693187797552,474
0.132,0.868,0.7068740653933379,146.04435146443518,0.32965269544406883,0.36047107156977154,19.16317991631799,0.6715481171548117,62.40237599550597,-122.33086289630562,11.29486809719908,478
0.141,0.859,0.7075204952460593,142.5328838174274,0.32346496773144295,0.3631461296706029,18.62448132780083,0.6659751037344398,64.77024993140606,-122.72014122227304,11.607062612969955,482
0.15,0.85,0.6963781326558119,141.37397119341566,0.325832158547004,0.37190194017956474,18.51440329218107,0.6502057613168725,64.75892934634331,-122.78130585924032,11.365553846331169,486
0.159,0.841,0.7012898906382417,137.6343157894737,0.32630074051611974,0.38158846239010175,18.05263157894737,0.6484210526315789,63.17905665303319,-121.51102400112009,11.080687090015896,475
0.168,0.832,0.6989805161491328,147.03354297693923,0.33943761195840866,0.37025907532447017,18.90566037735849,0.6561844863731656,62.191825668700886,-121.35205373258192,12.00584615399803,477
0.177,0.823,0.7102948252616844,143.82064315352702,0.3318690420673183,0.36236279286898604,18.66804979253112,0.6203319502074689,63.18166696807296,-122.58719826215864,11.184794460650046,482
0.186,0.814,0.7014531690270606,140.44260416666668,0.33118134956246725,0.36799956747282075,18.283333333333335,0.6375,64.33890542712967,-121.48122946913371,11.136685190933845,480
0.195,0.805,0.713390151727474,133.199375,0.3293100546381746,0.36240706104851145,17.4375,0.65,64.15961356289522,-120.84238483408735,11.221802403743247,480
0.205,0.795,0.7012839852776716,135.45821205821207,0.33259534123152557,0.36991292012776555,17.644490644490645,0.6465696465696466,64.78415998872178,-120.8842505161198,11.449802240146337,481
0.214,0.786,0.704004969617411,135.37574786324788,0.3278021361851062,0.3607628131147769,17.57905982905983,0.6346153846153846,63.25482798656304,-122.16738818107481,11.430137743440545,468
0.223,0.777,0.6963263086154854,151.11383647798746,0.333792787185536,0.37478273288657044,19.568134171907758,0.6436058700209644,64.820142722911,-121.35271192544275,11.700207366430474,477
0.232,0.768,0.7015733162058353,141.06828512396697,0.33678879750489177,0.37235320208078526,18.31404958677686,0.6797520661157025,63.36044021307177,-120.84360073069584,11.512500800683831,484
0.241,0.759,0.7112058443525513,137.56767151767156,0.32768320477940305,0.3684000256033489,18.164241164241165,0.6029106029106029,64.54413455623741,-120.62255738731754,11.444792529245737,481
0.25,0.75,0.6977853036945709,130.61739130434785,0.321028355466666,0.37278477777416763,17.169772256728777,0.6770186335403726,63.028338160438906,-121.07851122221199,11.466176151520347,483
0.259,0.741,0.716842240508549,138.7710805084746,0.3295103153589016,0.3622905291931667,18.15042372881356,0.6694915254237288,63.74532248338794,-121.00474149571262,11.083101784343635,472
0.268,0.732,0.7228692989340888,138.1122916666667,0.3268236656599777,0.3530497048940131,18.025,0.6291666666666667,63.937331022734355,-122.34411568918692,10.943092932923056,480
0.277,0.723,0.7017833715687262,147.29241164241168,0.33291736928985544,0.3704627125877856,19.261954261954262,0.6611226611226612,62.68688661165172,-119.99892595879703,11.635772388910242,481
0.286,0.714,0.7198325724777865,143.33033826638479,0.3276040247286938,0.35569689255328285,18.625792811839325,0.638477801268499,62.862209533424796,-119.57217743720459,11.525644537120515,473
0.295,0.705,0.7195793646612118,139.61079664570232,0.3234699324471411,0.3489334049602942,18.146750524109013,0.6352201257861635,63.471724548900426,-121.04106195282476,10.773097921353026,477
0.305,0.695,0.7011428057462434,151.4165975103735,0.33700286416968755,0.3672151137354464,19.57676348547718,0.6265560165975104,64.00393344016821,-120.33654611311913,11.290850601630398,482
0.314,0.686,0.6909998118833468,137.5865263157895,0.3304927065841955,0.3651851473506409,17.835789473684212,0.6547368421052632,64.1123092303662,-120.01024662685442,11.39951330631359,475
0.323,0.677,0.7177153157826771,134.28918918918924,0.32340897105546146,0.353096148019126,17.68814968814969,0.6153846153846154,64.4284590236422,-120.15850185563586,10.76846871977158,481
0.332,0.668,0.687249962237835,135.71898340248964,0.33520632757697955,0.38530296833644245,17.601659751037346,0.6576763485477178,63.821706361106266,-119.72978513149074,11.886138402543239,482
0.341,0.659,0.7036246943761799,152.91512605042018,0.3307202284569273,0.3769156965097114,19.798319327731093,0.6470588235294118,62.672223242107854,-120.57682425851995,11.75195738435859,476
0.35,0.65,0.6895866676239002,148.54129979035642,0.3309415495166995,0.3765878662961988,19.10062893081761,0.6540880503144654,62.56157662975787,-119.46062382031981,11.941797037304399,477
0.359,0.641,0.693775358403074,146.13932346723047,0.32794434278546114,0.37562956339059217,19.257928118393234,0.6257928118393234,63.59313970048547,-120.34628967427783,11.58290727753827,473
0.368,0.632,0.6924748947973356,140.28489583333334,0.3335452649013147,0.37542767755877143,18.260416666666668,0.6666666666666666,62.786319370691004,-119.64893114474067,11.628457475987686,480
0.377,0.623,0.6967102376730692,135.48923395445138,0.33403266480047206,0.3693052190414557,17.51966873706004,0.6459627329192547,62.905394010217115,-119.48113024155346,11.494938229396324,483
0.386,0.614,0.7066611293990581,150.8393459915612,0.3318649584774371,0.3695096696082432,19.50210970464135,0.6708860759493671,62.480336170428245,-119.57324520121101,11.368553740198927,474
0.395,0.605,0.7206469610363184,131.98162839248437,0.31461081759707166,0.3604786184466089,17.31106471816284,0.6471816283924844,62.46754110705361,-120.28758807440954,11.473580723924329,479
0.405,0.595,0.6964479396312642,136.9523157894737,0.3318857603892166,0.3670338389830167,17.690526315789473,0.6736842105263158,63.12379657328555,-119.02445008844099,11.626004902708855,475
